transaction_id,timestamp,amount,transaction_type,sender_account_age_days,receiver_account_age_days,sender_tx_count_24h,receiver_unique_senders_24h,device_changed,location_changed,failed_login_attempts,is_fraud
TXN_102084,2024-10-03T19:02:00Z,49688.53,UPI,909,1794,5,8,False,False,1,0
TXN_100653,2024-11-29T14:05:00Z,25649.77,UPI,2018,2208,7,4,False,False,0,0
TXN_100875,2024-08-19T08:12:00Z,3765.54,IMPS,253,1335,3,7,True,False,0,0
TXN_100443,2024-10-26T06:04:00Z,2526.31,UPI,2363,182,7,9,False,False,1,0
TXN_100916,2024-08-26T10:15:00Z,2214.71,UPI,3379,651,1,8,False,False,0,0
TXN_102758,2024-02-06T13:15:00Z,2568.42,NEFT,1179,1122,0,5,False,False,0,0
TXN_100284,2024-05-11T21:47:00Z,9565.03,RTGS,3072,1073,0,3,False,False,1,0
TXN_102283,2024-02-10T15:18:00Z,5553.56,RTGS,3502,2812,0,7,False,False,0,0
TXN_101659,2024-08-27T08:21:00Z,4286.45,UPI,2683,113,7,9,False,False,0,0
TXN_101603,2024-12-01T11:47:00Z,5569.77,IMPS,3185,761,2,6,False,False,0,0
TXN_102999,2024-10-04T20:47:00Z,664.64,UPI,2,3266,7,1,True,False,0,1
TXN_102843,2024-11-28T11:58:00Z,5585.91,UPI,1968,60,6,9,False,False,1,0
TXN_101285,2024-06-23T13:10:00Z,10355.33,RTGS,1027,2500,1,5,False,False,1,0
TXN_100833,2024-09-29T20:59:00Z,2543.23,NEFT,2545,2050,4,4,False,False,1,0
TXN_101122,2024-04-20T16:42:00Z,55676.07,NEFT,778,240,6,7,False,False,1,0
TXN_101588,2024-09-10T13:38:00Z,771.05,NEFT,2944,2349,7,4,False,False,0,0
TXN_101900,2024-10-06T18:15:00Z,35497.5,IMPS,1187,3544,3,6,False,False,0,0
TXN_101983,2024-09-05T12:29:00Z,3186.19,RTGS,3469,3133,0,9,False,False,1,0
TXN_100816,2024-09-08T13:16:00Z,794.67,IMPS,1411,2271,5,3,False,False,0,0
TXN_102731,2024-11-29T09:40:00Z,9640.44,UPI,116,3241,2,3,False,False,1,0
TXN_102455,2024-12-16T16:26:00Z,650.37,IMPS,1690,3393,2,3,False,True,1,0
TXN_102783,2024-11-26T13:26:00Z,10247.41,NEFT,286,208,4,4,False,False,0,0
TXN_101724,2024-03-13T11:46:00Z,4954.19,IMPS,2987,3479,6,5,False,False,1,0
TXN_100473,2024-04-08T22:33:00Z,6539.76,UPI,666,2989,7,1,False,False,1,0
TXN_102104,2024-10-04T11:31:00Z,2937.34,UPI,1281,3408,1,2,False,False,1,0
TXN_101510,2024-12-15T14:38:00Z,11293.67,UPI,714,3101,1,9,False,False,1,0
TXN_100654,2024-07-23T10:24:00Z,2278.61,IMPS,2872,2014,2,1,False,False,0,0
TXN_100318,2024-09-09T09:08:00Z,2918.03,RTGS,471,564,5,4,False,True,0,0
TXN_100032,2024-07-29T15:42:00Z,6915.34,UPI,2790,2539,5,4,False,False,0,0
TXN_102465,2024-10-14T11:19:00Z,4823.17,UPI,548,2174,4,5,False,False,0,0
TXN_101402,2024-09-04T19:40:00Z,41749.37,IMPS,1163,490,5,8,False,False,1,0
TXN_101003,2024-12-06T22:10:00Z,4069.74,RTGS,2418,776,0,2,False,False,1,0
TXN_100741,2024-11-07T11:38:00Z,29751.22,IMPS,994,35,7,3,False,False,0,0
TXN_101626,2024-05-08T09:07:00Z,4074.07,RTGS,84,2334,7,7,False,False,0,0
TXN_101353,2024-10-25T15:56:00Z,7784.53,RTGS,1150,1536,6,1,False,False,0,0
TXN_101094,2024-01-13T21:35:00Z,242.65,RTGS,943,1129,0,9,False,False,1,0
TXN_101535,2024-09-17T17:12:00Z,10357.84,UPI,162,2982,2,5,False,False,0,0
TXN_101893,2024-07-23T08:46:00Z,92593.61,NEFT,2852,3503,7,8,False,False,0,0
TXN_101643,2024-01-27T06:35:00Z,5452.49,UPI,2886,2545,2,6,False,False,0,0
TXN_100061,2024-02-04T21:53:00Z,3805.48,RTGS,3463,90,0,5,False,False,0,0
TXN_101322,2024-07-09T09:58:00Z,1841.26,IMPS,2685,1264,5,9,False,True,1,0
TXN_102329,2024-12-04T09:36:00Z,2030.95,UPI,3606,850,0,2,False,False,0,0
TXN_101952,2024-03-06T10:37:00Z,1389.63,RTGS,1369,1226,3,5,False,False,0,0
TXN_100459,2024-06-17T16:19:00Z,1787.34,IMPS,3531,557,1,3,False,False,1,0
TXN_102364,2024-01-22T10:51:00Z,4849.93,IMPS,3025,1810,5,5,False,False,0,0
TXN_100804,2024-06-13T06:25:00Z,39654.85,UPI,1612,1386,1,8,False,False,1,0
TXN_102874,2024-11-27T19:54:00Z,3447.36,NEFT,3084,2951,0,8,False,False,0,0
TXN_100041,2024-03-16T17:32:00Z,5872.57,UPI,1418,2902,5,9,False,False,0,0
TXN_101957,2024-05-24T18:30:00Z,20012.59,NEFT,191,532,0,7,False,False,1,0
TXN_102294,2024-09-06T07:27:00Z,1686.43,IMPS,612,2261,0,9,False,False,0,0
TXN_101628,2024-10-20T10:40:00Z,3225.3,UPI,3578,3358,3,2,False,False,0,0
TXN_102611,2024-04-19T17:56:00Z,34066.08,UPI,1865,1482,6,3,False,False,1,0
TXN_102218,2024-06-26T21:45:00Z,11779.63,IMPS,1216,3372,3,5,False,False,1,0
TXN_101857,2024-06-17T20:55:00Z,1927.95,RTGS,2356,1686,7,6,False,False,1,0
