transaction_id,timestamp,amount,transaction_type,sender_account_age_days,receiver_account_age_days,sender_tx_count_24h,receiver_unique_senders_24h,device_changed,location_changed,failed_login_attempts,is_fraud
TXN_000789,2024-10-26T14:43:00Z,5083.63,RTGS,934,196,0,9,False,False,1,0
TXN_001638,2024-05-18T13:24:00Z,21918.21,RTGS,1342,3109,3,9,False,False,0,0
TXN_000745,2024-11-30T17:02:00Z,12940.74,IMPS,1845,1749,7,5,False,False,0,0
TXN_001307,2024-11-27T20:25:00Z,31357.94,IMPS,2521,1894,2,8,False,False,1,0
TXN_001017,2024-04-29T06:36:00Z,2270.63,NEFT,333,949,3,1,False,False,1,0
TXN_000167,2024-02-09T18:03:00Z,330.39,UPI,1504,471,1,8,False,False,1,0
TXN_000559,2024-03-04T17:53:00Z,3222.73,UPI,285,2948,6,1,False,False,1,0
TXN_000130,2024-01-01T21:19:00Z,8856.62,UPI,1713,3544,3,5,False,False,1,0
TXN_000684,2024-05-04T09:50:00Z,1177.69,UPI,2067,2060,2,7,False,False,1,0
TXN_001396,2024-10-20T17:39:00Z,4033.48,UPI,1354,2589,0,9,False,False,0,0
TXN_000267,2024-06-11T06:48:00Z,3485.48,RTGS,716,449,2,8,False,False,0,0
TXN_000289,2024-06-04T21:45:00Z,5182.59,IMPS,218,1542,3,3,False,False,1,0
TXN_001783,2024-09-26T08:55:00Z,1244.48,IMPS,3349,1112,0,8,False,False,0,0
TXN_000053,2024-08-02T14:01:00Z,5594.04,NEFT,376,1674,5,8,False,False,0,0
TXN_000108,2024-02-14T14:59:00Z,4621.91,RTGS,90,2033,7,6,False,False,1,0
TXN_000539,2024-05-13T11:04:00Z,1974.67,NEFT,684,2451,1,5,False,False,0,0
TXN_001754,2024-10-21T12:30:00Z,26905.13,IMPS,3051,1652,0,3,False,True,0,0
TXN_001657,2024-11-03T16:37:00Z,2554.72,RTGS,992,451,2,3,False,False,1,0
TXN_001160,2024-12-28T15:02:00Z,14943.09,IMPS,1814,3066,5,3,False,False,1,0
TXN_001752,2024-08-24T22:27:00Z,1558.38,UPI,623,2486,1,1,False,False,1,0
TXN_000919,2024-06-23T07:38:00Z,41862.82,RTGS,3042,2956,6,9,False,False,0,0
TXN_000019,2024-01-09T11:09:00Z,1452.88,RTGS,1720,2863,0,1,False,False,0,0
TXN_001201,2024-10-28T06:55:00Z,823.27,UPI,1333,1248,4,9,False,False,0,0
TXN_001585,2024-09-12T22:57:00Z,5076.16,NEFT,3233,720,7,4,False,False,1,0
TXN_000361,2024-08-22T15:48:00Z,1381.79,RTGS,1118,933,6,2,False,False,0,0
TXN_001540,2024-12-25T18:19:00Z,4205.74,RTGS,3163,626,7,6,False,False,1,0
TXN_000853,2024-08-24T13:07:00Z,6564.08,UPI,1460,2775,4,4,False,False,1,0
TXN_001208,2024-10-16T11:28:00Z,28424.9,RTGS,455,3273,1,8,False,False,0,0
TXN_001634,2024-02-02T17:42:00Z,19531.31,RTGS,2307,622,5,4,False,True,1,0
TXN_001926,2024-01-15T19:42:00Z,4067.06,UPI,3259,3181,2,4,False,False,1,0
TXN_000350,2024-05-06T15:20:00Z,8632.01,NEFT,903,3626,0,6,False,False,0,0
TXN_000413,2024-03-12T09:03:00Z,6819.54,RTGS,1081,2350,0,7,False,False,0,0
TXN_001403,2024-12-03T17:11:00Z,902.9,UPI,365,143,1,7,False,False,1,0
TXN_000843,2024-12-15T07:16:00Z,215.11,NEFT,3089,2731,6,4,False,False,0,0
TXN_001530,2024-04-20T11:29:00Z,5297.76,RTGS,3142,2205,2,8,False,False,0,0
TXN_000437,2024-04-10T06:06:00Z,2545.25,UPI,3065,2342,0,6,False,True,0,0
TXN_000513,2024-05-13T21:50:00Z,20004.16,IMPS,982,826,3,8,False,False,0,0
TXN_000798,2024-12-23T21:34:00Z,4790.47,RTGS,2132,3419,6,1,False,False,1,0
TXN_001322,2024-08-02T09:47:00Z,1116.33,IMPS,1147,751,0,7,False,False,1,0
TXN_001676,2024-05-30T16:54:00Z,1555.64,UPI,3099,1984,5,9,False,False,0,0
